"replicate_id","Dataset","Year","moku","island","habitat","OTP_CHL_ANOM_F","OTP_CHL_LTM","OTP_CHL_ANOM_M","OTP_WAV_ANOM_F","OTP_WAV_ANOM_M","OTP_PAR_LTM","OTP_SST_LTM","OTP_SST_STD","OTP_Fishing_Commercial_Line","OTP_Fishing_Commercial_Spear","OTP_Fishing_combined_net","OTP_Fishing_NonCommercial_BoatBased_Spear","OTP_Fishing_NonCommercial_ShoreBased_Line","OTP_Fishing_NonCommercial_ShoreBased_Spear","OTP_Fishing_NonCommercial_ShoreBased_Net","Fishing_aquarium","OTP_HabitatModification","OTP_OSDS_TotalEffluent","OTP_Sedimentation","LBSP_Ag_Mean_Decay","LBSP_Golf_Mean_Decay","LBSP2_Urban_runoff","depth_predicted","rugosity_predicted","TotalHerbivore","Scraper","Browser","Grazer","ratio.CF","Turf","Macro","Coral","Calg"
2712,"FERL",2012,"KOOLAUPOKO","Oahu","Unknown",0.0967999994754791,0.0798999965190887,0.0441999994218349,0.227608,0.100431,43.4757995605469,25.1858539581299,0.960388004779816,0,0,0,0,0,0,0,9.92157649993896,1,3253.83471679688,0.0204645767807961,0.000654222734738141,0.38196787238121,0.413796752691269,2.56677227919582,13.0235062187291,0.0242807258739231,0,0,0,0.15,0.625,6.04166666666667,0.208333333333333,0
2712,"FERL",2013,"KOOLAUPOKO","Oahu","Unknown",0.0967999994754791,0.0798999965190887,0.0441999994218349,0.227608,0.100431,43.4757995605469,25.1858539581299,0.960388004779816,0,0,0,0,0,0,0,9.92157649993896,1,3253.83471679688,0.0204645767807961,0.000654222734738141,0.38196787238121,0.413796752691269,2.56302911066627,13.0656304930117,0,0,0,0,0.0695652173913043,0.625,13.75,0,0
2715,"FERL",2012,"KOOLAUPOKO","Oahu","Unknown",0.0967999994754791,0.0798999965190887,0.0441999994218349,0.227608,0.100431,43.4757995605469,25.1858539581299,0.960388004779816,0,0,0,0,0,0,0,0,1,3253.83471679688,0.00692161917686462,0.000665109662804753,0.388324201107025,0.42068275809288,1.19682683204403,7.87616732714388,0.212930812253467,0,0,0,0.9,0.625,3.54166666666667,3.75,0
2715,"FERL",2013,"KOOLAUPOKO","Oahu","Unknown",0.0967999994754791,0.0798999965190887,0.0441999994218349,0.227608,0.100431,43.4757995605469,25.1858539581299,0.960388004779816,0,0,0,0,0,0,0,0,1,3253.83471679688,0.00692161917686462,0.000665109662804753,0.388324201107025,0.42068275809288,1.19059707492589,7.82023822925239,0,0,0,0,0.0666666666666667,0,15,0,0
2716,"FERL",2012,"KOOLAUPOKO","Oahu","Unknown",0.0967999994754791,0.0798999965190887,0.0441999994218349,0.227608,0.100431,43.4757995605469,25.1858539581299,0.960388004779816,0,0,0,0,0,0,0,0,1,3253.83471679688,0,0.000587876769714057,0.343231767416,0.371832877397537,0.659554032789785,6.24153743486548,0.152610073689032,0,0,0,2.58278145695364,10.8870967741935,1.29032258064516,28.7701612903226,2.68145161290323
2716,"FERL",2013,"KOOLAUPOKO","Oahu","Unknown",0.0967999994754791,0.0798999965190887,0.0441999994218349,0.227608,0.100431,43.4757995605469,25.1858539581299,0.960388004779816,0,0,0,0,0,0,0,0,1,3253.83471679688,0,0.000587876769714057,0.343231767416,0.371832877397537,0.6614473783513,6.23070530562848,0,0,0,0,6.34042553191489,3.75,1.59090909090909,32.2159090909091,1.64772727272727
2717,"FERL",2012,"KOOLAUPOKO","Oahu","Pavement",0.0967999994754791,0.0798999965190887,0.0441999994218349,0.214963,0.104452,43.4757995605469,25.1858539581299,0.960388004779816,0,0,0,0,0,0,0,0,1,3253.83471679688,0,0.000538676860742271,0.314506411552429,0.340713828802109,2.26086124156584,18.0693741170019,29.3194203571408,17.7468803224023,0,11.5725400347385,0.450199203187251,43.75,8.54166666666667,6.45833333333333,17.0833333333333
2717,"FERL",2013,"KOOLAUPOKO","Oahu","Pavement",0.0967999994754791,0.0798999965190887,0.0441999994218349,0.214963,0.104452,43.4757995605469,25.1858539581299,0.960388004779816,0,0,0,0,0,0,0,0,1,3253.83471679688,0,0.000538676860742271,0.314506411552429,0.340713828802109,2.26387379328236,18.086084933479,19.7334180281225,0,0,19.7334180281225,1.70967741935484,12.5,6.875,25,8.125
2718,"FERL",2012,"KOOLAUPOKO","Oahu","Unknown",0.0967999994754791,0.0798999965190887,0.0441999994218349,0.214963,0.104452,43.4757995605469,25.1858539581299,0.960388004779816,0,0,0,0,0,0,0,0,1,3253.83471679688,0,0.000538676860742271,0.314506411552429,0.340713828802109,0.876818107791484,16.8049790717786,0.0601682538297281,0.0300588006567102,0,0,0.0324324324324324,1.04166666666667,29.7916666666667,0.416666666666667,0
2718,"FERL",2013,"KOOLAUPOKO","Oahu","Unknown",0.0967999994754791,0.0798999965190887,0.0441999994218349,0.214963,0.104452,43.4757995605469,25.1858539581299,0.960388004779816,0,0,0,0,0,0,0,0,1,3253.83471679688,0,0.000538676860742271,0.314506411552429,0.340713828802109,0.869552932068075,16.7890880052442,0,0,0,0,0.0484848484848485,3.125,17.5,0,0
